,sidx,idx_strs,xy,x,y,pargp9,parval1_9,9
0,"(38, 0, 38, 15)",idx0:38_idx1:0_idx2:38_idx3:15,"(3875.0, 375.0)",3875.0,375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
1,"(1, 0, 1, 15)",idx0:1_idx1:0_idx2:1_idx3:15,"(3875.0, 9625.0)",3875.0,9625.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
2,"(13, 0, 13, 15)",idx0:13_idx1:0_idx2:13_idx3:15,"(3875.0, 6625.0)",3875.0,6625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
3,"(10, 0, 10, 15)",idx0:10_idx1:0_idx2:10_idx3:15,"(3875.0, 7375.0)",3875.0,7375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
4,"(18, 0, 18, 15)",idx0:18_idx1:0_idx2:18_idx3:15,"(3875.0, 5375.0)",3875.0,5375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
5,"(33, 0, 33, 15)",idx0:33_idx1:0_idx2:33_idx3:15,"(3875.0, 1625.0)",3875.0,1625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
6,"(3, 0, 3, 15)",idx0:3_idx1:0_idx2:3_idx3:15,"(3875.0, 9125.0)",3875.0,9125.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
7,"(35, 0, 35, 15)",idx0:35_idx1:0_idx2:35_idx3:15,"(3875.0, 1125.0)",3875.0,1125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
8,"(5, 0, 5, 15)",idx0:5_idx1:0_idx2:5_idx3:15,"(3875.0, 8625.0)",3875.0,8625.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
9,"(37, 0, 37, 15)",idx0:37_idx1:0_idx2:37_idx3:15,"(3875.0, 625.0)",3875.0,625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
10,"(8, 0, 8, 15)",idx0:8_idx1:0_idx2:8_idx3:15,"(3875.0, 7875.0)",3875.0,7875.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
11,"(4, 0, 4, 15)",idx0:4_idx1:0_idx2:4_idx3:15,"(3875.0, 8875.0)",3875.0,8875.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
12,"(26, 0, 26, 15)",idx0:26_idx1:0_idx2:26_idx3:15,"(3875.0, 3375.0)",3875.0,3375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
13,"(7, 0, 7, 15)",idx0:7_idx1:0_idx2:7_idx3:15,"(3875.0, 8125.0)",3875.0,8125.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
14,"(34, 0, 34, 15)",idx0:34_idx1:0_idx2:34_idx3:15,"(3875.0, 1375.0)",3875.0,1375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
15,"(14, 0, 14, 15)",idx0:14_idx1:0_idx2:14_idx3:15,"(3875.0, 6375.0)",3875.0,6375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
16,"(16, 0, 16, 15)",idx0:16_idx1:0_idx2:16_idx3:15,"(3875.0, 5875.0)",3875.0,5875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
17,"(11, 0, 11, 15)",idx0:11_idx1:0_idx2:11_idx3:15,"(3875.0, 7125.0)",3875.0,7125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
18,"(19, 0, 19, 15)",idx0:19_idx1:0_idx2:19_idx3:15,"(3875.0, 5125.0)",3875.0,5125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
19,"(32, 0, 32, 15)",idx0:32_idx1:0_idx2:32_idx3:15,"(3875.0, 1875.0)",3875.0,1875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
20,"(9, 0, 9, 15)",idx0:9_idx1:0_idx2:9_idx3:15,"(3875.0, 7625.0)",3875.0,7625.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
21,"(21, 0, 21, 15)",idx0:21_idx1:0_idx2:21_idx3:15,"(3875.0, 4625.0)",3875.0,4625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
22,"(31, 0, 31, 15)",idx0:31_idx1:0_idx2:31_idx3:15,"(3875.0, 2125.0)",3875.0,2125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
23,"(6, 0, 6, 15)",idx0:6_idx1:0_idx2:6_idx3:15,"(3875.0, 8375.0)",3875.0,8375.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
24,"(24, 0, 24, 15)",idx0:24_idx1:0_idx2:24_idx3:15,"(3875.0, 3875.0)",3875.0,3875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
25,"(17, 0, 17, 15)",idx0:17_idx1:0_idx2:17_idx3:15,"(3875.0, 5625.0)",3875.0,5625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
26,"(29, 0, 29, 15)",idx0:29_idx1:0_idx2:29_idx3:15,"(3875.0, 2625.0)",3875.0,2625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
27,"(12, 0, 12, 15)",idx0:12_idx1:0_idx2:12_idx3:15,"(3875.0, 6875.0)",3875.0,6875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
28,"(20, 0, 20, 15)",idx0:20_idx1:0_idx2:20_idx3:15,"(3875.0, 4875.0)",3875.0,4875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
29,"(23, 0, 23, 15)",idx0:23_idx1:0_idx2:23_idx3:15,"(3875.0, 4125.0)",3875.0,4125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
30,"(27, 0, 27, 15)",idx0:27_idx1:0_idx2:27_idx3:15,"(3875.0, 3125.0)",3875.0,3125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
31,"(25, 0, 25, 15)",idx0:25_idx1:0_idx2:25_idx3:15,"(3875.0, 3625.0)",3875.0,3625.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
32,"(22, 0, 22, 15)",idx0:22_idx1:0_idx2:22_idx3:15,"(3875.0, 4375.0)",3875.0,4375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
33,"(2, 0, 2, 15)",idx0:2_idx1:0_idx2:2_idx3:15,"(3875.0, 9375.0)",3875.0,9375.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
34,"(28, 0, 28, 15)",idx0:28_idx1:0_idx2:28_idx3:15,"(3875.0, 2875.0)",3875.0,2875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
35,"(36, 0, 36, 15)",idx0:36_idx1:0_idx2:36_idx3:15,"(3875.0, 875.0)",3875.0,875.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
36,"(39, 0, 39, 15)",idx0:39_idx1:0_idx2:39_idx3:15,"(3875.0, 125.0)",3875.0,125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
37,"(0, 0, 0, 15)",idx0:0_idx1:0_idx2:0_idx3:15,"(3875.0, 9875.0)",3875.0,9875.0,sfr_rhk,1.0,1.00000000000000000000000000000000000000000000000000000000
38,"(30, 0, 30, 15)",idx0:30_idx1:0_idx2:30_idx3:15,"(3875.0, 2375.0)",3875.0,2375.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
39,"(15, 0, 15, 15)",idx0:15_idx1:0_idx2:15_idx3:15,"(3875.0, 6125.0)",3875.0,6125.0,sfr_rhk,1.0,1.0000000000000000000000000000000000000000000000000000000000
